,PUMA,NP,ACCESS,BATH,BDSP,BLD,BROADBND,COMPOTHX,DIALUP,ELEFP,ELEP,FS,FULFP,GASFP,HFL,HISPEED,LAPTOP,OTHSVCEX,REFR,RMSP,RNTM,RNTP,SATELLITE,SMARTPHONE,TABLET,TEL,TEN,VEH,WATFP,YBL,GRPIP,HHL,HHLANP,HHT,HINCP,HUPAC,KIT,LNGI,MULTG,MV,NOC,NPP,NR,PARTNER,PSF,R18,R65,RESMODE,SRNT,SSMC,WGTP_CLT,AMI,AFF_OCC,COST_BURDALL,Cluster
0,Charlotte City (Northwest),5,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,No,No,Valid monthly electricity cost in ELEP,100.0,Yes,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Electricity,Yes,Yes,No,Yes,5,No,800.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,5,68.0,English only,9500.0,"Other family household: Female householder, no spouse present",18000.0,With children under 6 years and 6 to 17 years,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",5 to 9 years,3.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,1 or more persons under 18 in household,1 person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,200.33,30% and Below,51 to 60%,Yes,Cluster 3
1,Charlotte City (South),1,"Yes, by paying a cell phone company or Internet service provider",Yes,2,6,Yes,No,No,Valid monthly electricity cost in ELEP,120.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,7,No,1100.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,6,20.0,English only,9500.0,Nonfamily household: Male householder: Living alone,72000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,111.87,Greater than 120%,61 to 80%,No,Cluster 0
2,Charlotte City (Central),2,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,No,No,Valid monthly electricity cost in ELEP,170.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,No,No,No,Yes,5,No,600.0,No,Yes,No,Yes,Rented,2 vehicles,Valid annual water cost in WATP,5,19.0,English only,9500.0,Married couple household,56600.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",5 to 9 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,90.0,81 to 100%,31 to 50%,No,Cluster 1
3,Charlotte City (Southwest),4,"Yes, by paying a cell phone company or Internet service provider",Yes,2,7,Yes,No,No,Valid monthly electricity cost in ELEP,80.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,6,No,800.0,No,Yes,Yes,Yes,Rented,2 vehicles,Valid annual water cost in WATP,6,18.0,English only,9500.0,Married couple household,59400.0,With children 6 to 17 years only,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,2.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,1 or more persons under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,61.87,81 to 100%,51 to 60%,No,Cluster 3
4,Charlotte City (Central),1,"Yes, without paying a cell phone company or Internet service provider",Yes,0,9,Yes,No,No,Valid monthly electricity cost in ELEP,30.0,No,No charge or fuel other than gas or electricity not used,Included in electricity payment,Utility gas,Yes,Yes,No,Yes,1,No,1400.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,2008,11.0,English only,9500.0,Nonfamily household: Male householder: Living alone,160000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,95.0,Greater than 120%,101 to 120%,No,Cluster 0
5,Charlotte City (Southwest),3,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,No,No,Valid monthly electricity cost in ELEP,80.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,Yes,No,Yes,6,No,1300.0,No,Yes,Yes,Yes,Rented,3 vehicles,Valid annual water cost in WATP,3,17.0,English only,9500.0,Nonfamily household: Female householder: Not living alone,121300.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,1 or more nonrelatives,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,229.79,Greater than 120%,81 to 100%,No,Cluster 0
6,Charlotte City (Southwest),2,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,No,No,Valid monthly electricity cost in ELEP,110.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,"Bottled, tank, or LP gas",Yes,Yes,No,Yes,7,No,1400.0,No,Yes,Yes,Yes,Rented,2 vehicles,Valid annual water cost in WATP,6,16.0,English only,9500.0,Nonfamily household: Female householder: Not living alone,116000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,1 or more nonrelatives,"Female householder, male partner",No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,81.51,Greater than 120%,81 to 100%,No,Cluster 0
7,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,2,"Yes, by paying a cell phone company or Internet service provider",Yes,1,7,Yes,No,No,Valid monthly electricity cost in ELEP,90.0,No,No charge or fuel other than gas or electricity not used,Included in rent or in condo fee,Electricity,No,Yes,No,Yes,2,No,830.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,8,26.0,English only,9500.0,"Other family household: Female householder, no spouse present",42000.0,With children 6 to 17 years only,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",13 to 23 months,1.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,1 or more persons under 18 in household,No person 65 and over,Mail,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,42.59,61 to 80%,61 to 80%,No,Cluster 3
8,Charlotte City (South),1,"Yes, by paying a cell phone company or Internet service provider",Yes,2,2,Yes,No,No,Valid monthly electricity cost in ELEP,100.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,Yes,No,Yes,6,No,1600.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,2006,44.0,English only,9500.0,Nonfamily household: Female householder: Living alone,50000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,105.93,81 to 100%,101 to 120%,Yes,Cluster 0
9,Charlotte City (Northeast),2,"Yes, by paying a cell phone company or Internet service provider",Yes,1,6,Yes,No,No,Valid monthly electricity cost in ELEP,110.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,4,No,650.0,No,Yes,No,Yes,Rented,2 vehicles,No charge,5,20.0,Other language,4590.0,Married couple household,45600.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",No one in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Mail,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,58.0,61 to 80%,51 to 60%,No,Cluster 1
